student_name,age,class_level,favorite_topics,weak_topics,learning_style,study_hours,goals,motivation,assessment_feedback,preferred_difficulty,attention_span,previous_grades,extracurricular,career_interest
Casey Taylor,14,9th grade,"biology, physics, music, literature","history, geography",practical problem-solving approach,20,"improve grades in geography, excel in biology",want to become an engineer,"demonstrates creativity in problem solving, but should work on time management",medium,67,"literature: A-, geography: B-",art club,research
Casey Miller,16,11th grade,"geography, computer science, art, chemistry",mathematics,visual learning with diagrams and charts,22,"improve grades in mathematics, excel in computer science",interested in medical career,"good at connecting concepts, but needs more practice with mathematics",easy,57,"computer science: A, mathematics: C",robotics club,education
Jordan Johnson,15,10th grade,"mathematics, music, computer science","chemistry, geography, literature",mixed visual and auditory,14,"improve grades in geography, excel in music",enjoy understanding how things work,"excellent understanding of music, but could improve explanation clarity",medium,34,"mathematics: A-, geography: C+",art club,engineering
Jordan Moore,15,10th grade,"music, computer science",biology,mixed visual and auditory,24,"improve grades in biology, excel in computer science",enjoy understanding how things work,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,27,"music: B+, biology: C+",science olympiad,engineering
Alex Moore,15,10th grade,"chemistry, art",biology,reading and writing focused,24,"improve grades in biology, excel in art",want to become an engineer,"good at connecting concepts, but needs to show more work in calculations",easy,49,"art: A-, biology: C+",art club,medicine
Morgan Wilson,15,10th grade,"chemistry, physics, mathematics",music,reading and writing focused,8,"improve grades in music, excel in mathematics",love solving complex problems,"good at connecting concepts, but needs to show more work in calculations",medium,30,"mathematics: A-, music: B-",science olympiad,education
Morgan Johnson,16,11th grade,"physics, biology","mathematics, art, geography",auditory learning through discussions,20,"improve grades in geography, excel in biology",love solving complex problems,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,80,"biology: A-, art: C",robotics club,medicine
Riley Wilson,16,11th grade,"geography, computer science, history","mathematics, biology, music",kinesthetic hands-on learning,8,"improve grades in biology, excel in history",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",easy,44,"history: B+, biology: C",chess club,engineering
Jordan Johnson,15,10th grade,"art, chemistry, computer science","geography, literature",practical problem-solving approach,24,"improve grades in geography, excel in computer science",interested in medical career,"demonstrates creativity in problem solving, but needs more practice with geography",easy,34,"chemistry: B+, geography: C+",chess club,research
Taylor Moore,18,13th grade,"computer science, history, geography, biology",literature,auditory learning through discussions,24,"improve grades in literature, excel in computer science",love solving complex problems,"good at connecting concepts, but needs more practice with literature",medium,58,"biology: A-, literature: B-",chess club,research
Casey Moore,16,11th grade,"art, history, geography, chemistry",music,auditory learning through discussions,18,"improve grades in music, excel in geography",fascinated by technology and innovation,"demonstrates creativity in problem solving, but should work on time management",medium,24,"history: A, music: C",robotics club,education
Morgan Miller,17,12th grade,"chemistry, history","biology, mathematics, computer science",mixed visual and auditory,17,"improve grades in computer science, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but needs more practice with mathematics",challenging,28,"chemistry: B+, computer science: C",debate team,engineering
Alex Johnson,17,12th grade,"physics, geography",literature,kinesthetic hands-on learning,6,"improve grades in literature, excel in geography",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",challenging,43,"physics: A, literature: B-",chess club,education
Quinn Wilson,15,10th grade,"music, chemistry, biology","geography, computer science",practical problem-solving approach,5,"improve grades in computer science, excel in chemistry",fascinated by technology and innovation,"excellent understanding of biology, but needs to show more work in calculations",medium,58,"biology: B+, computer science: C",chess club,research
Morgan Wilson,15,10th grade,"geography, physics, biology","history, computer science",visual learning with diagrams and charts,17,"improve grades in computer science, excel in geography",want to help others through science,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,65,"geography: B+, history: C",debate team,engineering
Riley Moore,14,9th grade,"geography, mathematics, literature","chemistry, physics, biology",auditory learning through discussions,11,"improve grades in chemistry, excel in literature",love solving complex problems,"good at connecting concepts, but should work on time management",medium,81,"mathematics: A-, biology: C+",chess club,engineering
Avery Johnson,15,10th grade,"history, art","physics, geography",kinesthetic hands-on learning,22,"improve grades in physics, excel in art",love solving complex problems,"good at connecting concepts, but needs more practice with geography",challenging,49,"art: B+, physics: B-",science olympiad,education
Alex Johnson,15,10th grade,"physics, geography, computer science, literature","mathematics, chemistry",kinesthetic hands-on learning,20,"improve grades in mathematics, excel in physics",interested in medical career,"demonstrates creativity in problem solving, but could improve explanation clarity",challenging,89,"literature: A-, mathematics: B-",robotics club,technology
Quinn Davis,18,13th grade,"computer science, mathematics, literature",history,kinesthetic hands-on learning,8,"improve grades in history, excel in literature",fascinated by technology and innovation,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,35,"mathematics: B+, history: C+",art club,engineering
Casey Davis,14,9th grade,"biology, chemistry, music",art,auditory learning through discussions,15,"improve grades in art, excel in music",want to become an engineer,"shows strong analytical thinking, but could improve explanation clarity",easy,34,"music: A, art: C+",science olympiad,medicine
Avery Smith,18,13th grade,"mathematics, chemistry, computer science",biology,practical problem-solving approach,7,"improve grades in biology, excel in chemistry",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",challenging,25,"computer science: A-, biology: B-",robotics club,engineering
Riley Brown,17,12th grade,"history, physics, geography","computer science, mathematics, art",visual learning with diagrams and charts,9,"improve grades in mathematics, excel in geography",fascinated by technology and innovation,"good at connecting concepts, but needs to show more work in calculations",challenging,87,"physics: B+, mathematics: B-",chess club,engineering
Riley Taylor,14,9th grade,"art, biology, history, music",computer science,reading and writing focused,18,"improve grades in computer science, excel in history",enjoy understanding how things work,"good at connecting concepts, but should work on time management",challenging,80,"art: A, computer science: C+",chess club,engineering
Avery Miller,16,11th grade,"art, mathematics","history, music, physics",practical problem-solving approach,18,"improve grades in physics, excel in art",love solving complex problems,"excellent understanding of mathematics, but should work on time management",easy,81,"art: A-, history: B-",science olympiad,engineering
Taylor Wilson,16,11th grade,"biology, history, mathematics, computer science","music, literature, physics",practical problem-solving approach,14,"improve grades in literature, excel in mathematics",want to become an engineer,"demonstrates creativity in problem solving, but needs more practice with music",easy,23,"biology: B+, physics: C+",chess club,technology
Jordan Johnson,17,12th grade,"chemistry, literature, computer science","biology, geography, art",auditory learning through discussions,10,"improve grades in art, excel in chemistry",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,76,"literature: A, geography: B-",robotics club,research
Avery Johnson,17,12th grade,"computer science, geography","literature, mathematics, physics",visual learning with diagrams and charts,11,"improve grades in mathematics, excel in computer science",interested in medical career,"good at connecting concepts, but needs more practice with mathematics",easy,83,"geography: A, literature: C",art club,medicine
Quinn Smith,18,13th grade,"literature, physics, history, geography","mathematics, computer science, music",kinesthetic hands-on learning,23,"improve grades in computer science, excel in geography",fascinated by technology and innovation,"excellent understanding of geography, but needs to show more work in calculations",easy,61,"physics: A-, music: B-",science olympiad,engineering
Avery Wilson,17,12th grade,"biology, history","art, literature, mathematics",practical problem-solving approach,15,"improve grades in art, excel in history",interested in medical career,"excellent understanding of biology, but should work on time management",medium,64,"biology: A, art: C+",science olympiad,medicine
Riley Miller,15,10th grade,"chemistry, physics, music, history","literature, art, geography",auditory learning through discussions,19,"improve grades in literature, excel in history",enjoy understanding how things work,"excellent understanding of music, but could improve explanation clarity",challenging,29,"music: A-, art: C+",robotics club,research
Alex Taylor,16,11th grade,"physics, art","music, literature",mixed visual and auditory,25,"improve grades in music, excel in art",want to help others through science,"excellent understanding of art, but needs to show more work in calculations",easy,63,"physics: A, music: C+",chess club,technology
Riley Johnson,18,13th grade,"music, chemistry, literature, art","computer science, geography",practical problem-solving approach,25,"improve grades in geography, excel in music",love solving complex problems,"good at connecting concepts, but could improve explanation clarity",challenging,39,"literature: B+, computer science: B-",debate team,research
Jordan Moore,16,11th grade,"history, chemistry, physics, art","literature, computer science, biology",mixed visual and auditory,16,"improve grades in literature, excel in physics",love solving complex problems,"good at connecting concepts, but needs to show more work in calculations",easy,48,"chemistry: A, literature: C",robotics club,education
Taylor Brown,18,13th grade,"art, mathematics, literature, history","chemistry, geography, computer science",auditory learning through discussions,24,"improve grades in chemistry, excel in history",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",challenging,56,"history: B+, chemistry: C+",science olympiad,technology
Avery Brown,15,10th grade,"music, geography, art","history, biology",auditory learning through discussions,24,"improve grades in history, excel in geography",want to become an engineer,"good at connecting concepts, but needs more practice with biology",challenging,86,"music: A, biology: C+",science olympiad,technology
Riley Johnson,18,13th grade,"history, physics",music,reading and writing focused,6,"improve grades in music, excel in physics",interested in medical career,"good at connecting concepts, but should work on time management",easy,60,"history: A, music: C+",robotics club,research
Alex Wilson,17,12th grade,"chemistry, geography, art, computer science",mathematics,auditory learning through discussions,9,"improve grades in mathematics, excel in chemistry",love solving complex problems,"excellent understanding of geography, but needs more practice with mathematics",easy,73,"computer science: A, mathematics: C",art club,education
Riley Davis,14,9th grade,"art, biology, chemistry, geography","mathematics, history",mixed visual and auditory,18,"improve grades in mathematics, excel in art",want to help others through science,"excellent understanding of chemistry, but needs to show more work in calculations",medium,25,"geography: A-, history: B-",robotics club,research
Riley Miller,14,9th grade,"biology, physics, literature",mathematics,practical problem-solving approach,10,"improve grades in mathematics, excel in literature",enjoy understanding how things work,"shows strong analytical thinking, but needs more practice with mathematics",challenging,78,"biology: A, mathematics: C+",debate team,engineering
Casey Wilson,16,11th grade,"art, history, geography","mathematics, literature",kinesthetic hands-on learning,6,"improve grades in literature, excel in history",want to become an engineer,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,63,"art: B+, literature: C",science olympiad,education
Morgan Miller,16,11th grade,"history, physics","biology, literature",visual learning with diagrams and charts,7,"improve grades in literature, excel in physics",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",medium,77,"history: B+, literature: C",science olympiad,engineering
Quinn Johnson,14,9th grade,"history, literature, chemistry, mathematics",art,auditory learning through discussions,7,"improve grades in art, excel in chemistry",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",medium,67,"mathematics: B+, art: C+",art club,research
Taylor Taylor,17,12th grade,"computer science, biology, physics",art,mixed visual and auditory,17,"improve grades in art, excel in biology",love solving complex problems,"shows strong analytical thinking, but could improve explanation clarity",challenging,82,"computer science: A, art: C+",chess club,medicine
Morgan Wilson,17,12th grade,"literature, music","physics, computer science, geography",auditory learning through discussions,25,"improve grades in physics, excel in music",want to help others through science,"shows strong analytical thinking, but should work on time management",easy,83,"literature: B+, computer science: B-",science olympiad,technology
Avery Taylor,18,13th grade,"music, physics",literature,mixed visual and auditory,18,"improve grades in literature, excel in music",interested in medical career,"demonstrates creativity in problem solving, but needs to show more work in calculations",challenging,86,"physics: B+, literature: B-",art club,medicine
Taylor Miller,15,10th grade,"art, mathematics, physics","biology, computer science, music",practical problem-solving approach,12,"improve grades in computer science, excel in physics",love solving complex problems,"shows strong analytical thinking, but could improve explanation clarity",easy,58,"physics: A, music: B-",debate team,education
Jordan Johnson,18,13th grade,"chemistry, literature","mathematics, art, music",practical problem-solving approach,23,"improve grades in art, excel in chemistry",want to help others through science,"excellent understanding of literature, but needs to show more work in calculations",challenging,89,"literature: A-, music: C",debate team,technology
Quinn Davis,16,11th grade,"physics, mathematics, chemistry","history, music",kinesthetic hands-on learning,24,"improve grades in history, excel in mathematics",fascinated by technology and innovation,"demonstrates creativity in problem solving, but should work on time management",medium,85,"chemistry: A-, history: C+",chess club,engineering
Avery Moore,16,11th grade,"biology, chemistry, physics",literature,auditory learning through discussions,10,"improve grades in literature, excel in physics",fascinated by technology and innovation,"shows strong analytical thinking, but needs to show more work in calculations",challenging,79,"chemistry: A-, literature: C+",robotics club,technology
Morgan Taylor,18,13th grade,"biology, music, literature",mathematics,mixed visual and auditory,25,"improve grades in mathematics, excel in music",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",medium,66,"music: A, mathematics: C",robotics club,education
Quinn Wilson,18,13th grade,"literature, art","physics, biology",mixed visual and auditory,24,"improve grades in physics, excel in literature",want to become an engineer,"good at connecting concepts, but could improve explanation clarity",easy,45,"art: A, physics: C+",debate team,research
Morgan Miller,17,12th grade,"geography, chemistry, art, music","biology, physics, computer science",mixed visual and auditory,21,"improve grades in computer science, excel in music",fascinated by technology and innovation,"excellent understanding of art, but could improve explanation clarity",medium,34,"music: A-, computer science: B-",robotics club,education
Avery Brown,17,12th grade,"music, biology, mathematics","literature, chemistry, history",practical problem-solving approach,12,"improve grades in literature, excel in mathematics",fascinated by technology and innovation,"excellent understanding of music, but needs to show more work in calculations",medium,73,"music: B+, chemistry: C+",chess club,education
Avery Miller,18,13th grade,"mathematics, chemistry, biology","literature, art, history",auditory learning through discussions,19,"improve grades in history, excel in chemistry",want to help others through science,"good at connecting concepts, but needs to show more work in calculations",easy,51,"chemistry: A-, history: C+",science olympiad,research
Jordan Moore,15,10th grade,"geography, literature, music, chemistry","art, biology, history",reading and writing focused,16,"improve grades in art, excel in music",want to become an engineer,"excellent understanding of music, but could improve explanation clarity",medium,52,"chemistry: A, art: B-",science olympiad,education
Casey Davis,16,11th grade,"physics, biology",mathematics,visual learning with diagrams and charts,8,"improve grades in mathematics, excel in biology",fascinated by technology and innovation,"shows strong analytical thinking, but needs more practice with mathematics",challenging,40,"biology: A-, mathematics: B-",debate team,research
Taylor Moore,16,11th grade,"mathematics, physics, biology","art, music, chemistry",auditory learning through discussions,6,"improve grades in music, excel in physics",interested in medical career,"excellent understanding of biology, but needs more practice with music",medium,33,"physics: A-, music: B-",art club,education
Jordan Miller,17,12th grade,"art, geography","biology, history",auditory learning through discussions,19,"improve grades in history, excel in art",want to become an engineer,"shows strong analytical thinking, but should work on time management",challenging,71,"geography: A, history: C",robotics club,medicine
Quinn Wilson,15,10th grade,"literature, biology, mathematics","history, chemistry",kinesthetic hands-on learning,14,"improve grades in history, excel in biology",fascinated by technology and innovation,"excellent understanding of biology, but needs more practice with history",medium,59,"literature: B+, chemistry: B-",science olympiad,engineering
Taylor Taylor,16,11th grade,"music, biology, art",computer science,practical problem-solving approach,24,"improve grades in computer science, excel in biology",fascinated by technology and innovation,"shows strong analytical thinking, but should work on time management",challenging,30,"art: B+, computer science: B-",science olympiad,engineering
Taylor Brown,18,13th grade,"mathematics, art","computer science, literature, geography",kinesthetic hands-on learning,21,"improve grades in literature, excel in mathematics",fascinated by technology and innovation,"demonstrates creativity in problem solving, but needs more practice with geography",challenging,77,"mathematics: A, literature: B-",chess club,technology
Avery Wilson,18,13th grade,"art, geography","computer science, literature, mathematics",visual learning with diagrams and charts,11,"improve grades in mathematics, excel in art",want to become an engineer,"excellent understanding of geography, but needs more practice with literature",easy,80,"art: A-, literature: C+",debate team,technology
Taylor Miller,16,11th grade,"geography, history, art",literature,visual learning with diagrams and charts,10,"improve grades in literature, excel in art",interested in medical career,"excellent understanding of art, but needs more practice with literature",medium,79,"art: B+, literature: C",debate team,medicine
Avery Johnson,17,12th grade,"chemistry, computer science, biology","music, mathematics, art",auditory learning through discussions,11,"improve grades in music, excel in chemistry",want to help others through science,"excellent understanding of chemistry, but should work on time management",challenging,25,"computer science: A, mathematics: B-",debate team,engineering
Morgan Brown,15,10th grade,"computer science, biology, literature, music","art, chemistry, physics",practical problem-solving approach,21,"improve grades in art, excel in music",love solving complex problems,"shows strong analytical thinking, but needs to show more work in calculations",challenging,83,"computer science: B+, chemistry: B-",chess club,education
Quinn Davis,16,11th grade,"history, music, chemistry, geography","physics, literature",auditory learning through discussions,14,"improve grades in physics, excel in geography",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",easy,52,"music: B+, literature: C+",chess club,research
Jordan Davis,14,9th grade,"biology, mathematics, computer science, music","geography, art, physics",mixed visual and auditory,22,"improve grades in geography, excel in music",interested in medical career,"excellent understanding of computer science, but should work on time management",easy,35,"music: B+, geography: B-",debate team,technology
Morgan Miller,15,10th grade,"literature, computer science, history, biology","music, chemistry, art",mixed visual and auditory,20,"improve grades in chemistry, excel in literature",fascinated by technology and innovation,"shows strong analytical thinking, but could improve explanation clarity",medium,72,"literature: A, art: B-",debate team,engineering
Casey Moore,16,11th grade,"music, history, computer science, physics",biology,mixed visual and auditory,12,"improve grades in biology, excel in computer science",love solving complex problems,"demonstrates creativity in problem solving, but should work on time management",challenging,65,"history: B+, biology: B-",chess club,medicine
Alex Johnson,18,13th grade,"mathematics, art, music, history",geography,reading and writing focused,9,"improve grades in geography, excel in mathematics",fascinated by technology and innovation,"shows strong analytical thinking, but needs to show more work in calculations",medium,27,"history: A, geography: C+",art club,education
Alex Moore,17,12th grade,"mathematics, art","literature, music, biology",auditory learning through discussions,8,"improve grades in literature, excel in mathematics",interested in medical career,"good at connecting concepts, but could improve explanation clarity",medium,70,"mathematics: A-, music: C",art club,medicine
Quinn Johnson,15,10th grade,"physics, mathematics, music","literature, art",practical problem-solving approach,5,"improve grades in literature, excel in physics",enjoy understanding how things work,"excellent understanding of mathematics, but needs more practice with art",easy,47,"music: A-, art: C+",robotics club,research
Taylor Moore,18,13th grade,"mathematics, chemistry, literature, music",geography,visual learning with diagrams and charts,14,"improve grades in geography, excel in chemistry",want to help others through science,"demonstrates creativity in problem solving, but should work on time management",challenging,30,"literature: A, geography: C",debate team,engineering
Casey Miller,16,11th grade,"music, history, literature, mathematics","biology, computer science, geography",mixed visual and auditory,17,"improve grades in computer science, excel in history",fascinated by technology and innovation,"good at connecting concepts, but should work on time management",challenging,29,"music: A, computer science: C",debate team,technology
Morgan Smith,16,11th grade,"physics, music, mathematics","literature, computer science",auditory learning through discussions,7,"improve grades in literature, excel in music",enjoy understanding how things work,"excellent understanding of mathematics, but needs more practice with computer science",easy,65,"mathematics: B+, literature: B-",science olympiad,technology
Taylor Moore,14,9th grade,"history, music, physics","literature, chemistry, art",auditory learning through discussions,9,"improve grades in chemistry, excel in music",love solving complex problems,"excellent understanding of music, but should work on time management",medium,55,"music: A-, chemistry: C+",science olympiad,research
Alex Moore,15,10th grade,"geography, biology, music, mathematics",computer science,kinesthetic hands-on learning,24,"improve grades in computer science, excel in music",enjoy understanding how things work,"shows strong analytical thinking, but could improve explanation clarity",medium,45,"mathematics: A, computer science: C",science olympiad,research
Casey Brown,17,12th grade,"biology, literature, history, chemistry","computer science, mathematics",practical problem-solving approach,22,"improve grades in computer science, excel in chemistry",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with mathematics",medium,83,"literature: A, mathematics: C",debate team,technology
Avery Johnson,17,12th grade,"geography, music","history, computer science, art",kinesthetic hands-on learning,22,"improve grades in art, excel in geography",want to become an engineer,"good at connecting concepts, but should work on time management",challenging,25,"music: A-, computer science: C+",robotics club,engineering
Avery Taylor,16,11th grade,"art, music","biology, geography, chemistry",practical problem-solving approach,23,"improve grades in chemistry, excel in art",love solving complex problems,"excellent understanding of art, but could improve explanation clarity",medium,30,"art: A, chemistry: C",science olympiad,research
Quinn Taylor,17,12th grade,"art, geography","music, mathematics",kinesthetic hands-on learning,7,"improve grades in mathematics, excel in art",fascinated by technology and innovation,"good at connecting concepts, but needs more practice with music",challenging,41,"art: B+, music: C+",science olympiad,education
Avery Moore,17,12th grade,"biology, history, chemistry",art,visual learning with diagrams and charts,24,"improve grades in art, excel in history",want to help others through science,"excellent understanding of history, but should work on time management",easy,55,"chemistry: B+, art: C+",art club,medicine
Riley Moore,16,11th grade,"biology, geography, physics","art, literature",mixed visual and auditory,17,"improve grades in art, excel in geography",love solving complex problems,"good at connecting concepts, but needs more practice with art",challenging,37,"geography: A, art: C",robotics club,medicine
Avery Brown,16,11th grade,"chemistry, art, history, biology","physics, geography, literature",reading and writing focused,25,"improve grades in literature, excel in art",want to help others through science,"good at connecting concepts, but should work on time management",easy,60,"biology: A, literature: C",robotics club,technology
Quinn Moore,15,10th grade,"history, art","music, biology, literature",practical problem-solving approach,19,"improve grades in biology, excel in history",want to become an engineer,"good at connecting concepts, but needs more practice with music",medium,48,"art: A-, music: B-",chess club,education
Alex Taylor,18,13th grade,"music, physics","history, literature",mixed visual and auditory,11,"improve grades in literature, excel in music",fascinated by technology and innovation,"excellent understanding of music, but needs to show more work in calculations",medium,64,"music: A, literature: C+",debate team,education
Casey Johnson,16,11th grade,"music, history, chemistry, computer science",physics,mixed visual and auditory,16,"improve grades in physics, excel in history",love solving complex problems,"good at connecting concepts, but needs more practice with physics",easy,72,"music: B+, physics: C+",debate team,medicine
Morgan Moore,15,10th grade,"literature, biology, history, art",geography,reading and writing focused,19,"improve grades in geography, excel in literature",enjoy understanding how things work,"demonstrates creativity in problem solving, but needs to show more work in calculations",medium,20,"literature: B+, geography: B-",science olympiad,engineering
Morgan Miller,18,13th grade,"biology, history, music","chemistry, art",mixed visual and auditory,23,"improve grades in chemistry, excel in music",enjoy understanding how things work,"excellent understanding of history, but needs more practice with chemistry",challenging,78,"biology: A, chemistry: C",chess club,engineering
Jordan Miller,17,12th grade,"chemistry, computer science",history,kinesthetic hands-on learning,7,"improve grades in history, excel in chemistry",want to become an engineer,"shows strong analytical thinking, but needs to show more work in calculations",challenging,31,"chemistry: A, history: C",robotics club,medicine
Riley Smith,18,13th grade,"art, geography",mathematics,reading and writing focused,9,"improve grades in mathematics, excel in art",interested in medical career,"excellent understanding of geography, but needs more practice with mathematics",medium,67,"geography: A-, mathematics: C+",debate team,engineering
Quinn Davis,18,13th grade,"mathematics, chemistry, geography, art","biology, music, literature",visual learning with diagrams and charts,8,"improve grades in biology, excel in mathematics",want to help others through science,"demonstrates creativity in problem solving, but could improve explanation clarity",easy,51,"geography: A, literature: C+",art club,education
